movie_title,movie_id,metascore,userscore,runtime,whole_cast_meta,principle_cast_meta,supporting_cast_meta,director_meta,writer_meta,producer_meta,principle_cast_user,supporting_cast_user,writers_user,whole_cast_user,director_user,producer_user,rls_season,rls_time_of_month,mpaa,genre,language,production_companies
Curious George,21583,62,7.1,86.0,61.6013888888888889,68.1359350757846999,52.3297348484848485,47.4687500000000000,59.2857142857142857,49.9809523809523810,7.689735894357741,7.305135732323233,7.411904761904762,7.577436868686868,7.513333333333334,6.81374149659864,Winter,Beginning,G,"Adventure,                                          Comedy,                                          Animation,                                          Family",English,Universal Pictures
The Ice Harvest,21586,62,8.7,92.0,51.8285889194980104,60.1879140786749482,51.4026806526806527,62.7000000000000000,73.1047619047619048,66.0678571428571429,7.3195601851851855,6.82029304029304,8.181000000000001,6.814332983193277,7.833333333333333,7.539285714285714,Fall,End,R,"Drama,                                          Thriller,                                          Comedy,                                          Crime",English,Focus Features
The Dying Gaul,21587,62,7.1,101.0,57.7928571428571429,55.5773809523809524,58.0928571428571429,56.1666666666666667,59.3000000000000000,66.4000000000000000,7.172499999999999,7.7561904761904765,6.875,7.650476190476191,8.1,7.746666666666667,Fall,Beginning,R,"Drama,                                          Romance",English,Holedigger Films
Shopgirl,21588,62,6.5,106.0,51.9779321427440550,49.0995370370370370,54.7249639249639250,78.0000000000000000,64.4285714285714286,51.5916666666666667,6.916161616161617,6.781565656565656,8.166666666666666,6.749015151515152,7.8,7.105050505050504,Fall,End,R,"Drama,                                          Romance","English, Japanese",Touchstone Pictures
The Roost,21589,62,7.7,80.0,59.6250000000000000,56.2500000000000000,60.6562500000000000,63.0000000000000000,63.0000000000000000,64.5000000000000000,7.875,5.789285714285714,4.3,5.977777777777778,4.3,7.55,Fall,End,NR,Horror,English,Glass Eye Pix
Loggerheads,21590,62,7.8,95.0,53.9732142857142857,47.6666666666666667,57.5000000000000000,54.0000000000000000,54.0000000000000000,58.1944444444444444,6.291666666666667,7.618452380952381,8.5,7.431719233147804,8.5,6.633333333333333,Fall,Middle,PG13,Drama,English,120dB Films
Land of Plenty,21591,62,5.9,123.0,51.7930059523809524,59.0833333333333333,50.7742559523809524,57.1250000000000000,56.0833333333333333,60.3426373626373626,7.383333333333333,5.71875,6.1875,5.789583333333334,7.286666666666666,7.694870443566096,Fall,Middle,NR,Drama,English,InDigEnt (Independent Digital Entertainment)
Lord of War,21593,62,8.7,122.0,56.7310134310134310,59.4285714285714286,53.3182957393483709,40.2916666666666667,42.7500000000000000,47.3700000000000000,7.599038461538461,7.805654761904762,6.512500000000001,7.748788909503196,7.466666666666667,7.935333333333334,Summer,Middle,R,"Drama,                                          Thriller,                                          Crime","English, German, French, Spanish, Arabic, Russian, Ukrainian, Turkish",Endgame Entertainment
Sky High,21594,62,8.1,100.0,49.8753452685421995,49.3762626262626263,49.7812500000000000,24.5000000000000000,50.2500000000000000,48.6111111111111111,7.565394736842105,7.11875,7.275,7.196076923076923,7.35,6.508888888888888,Summer,End,PG,"Adventure,                                          Sci-Fi,                                          Comedy,                                          Family","English, Cantonese",Walt Disney Pictures
The Interpreter,21598,62,7.4,128.0,58.3938218562278713,49.7978947368421053,58.9410256410256410,67.0500000000000000,60.0740740740740741,56.7676587301587302,7.368771929824561,7.06547619047619,7.505555555555556,7.1814149008885835,7.512380952380953,7.405073494358811,Spring,End,PG13,"Drama,                                          Mystery,                                          Thriller","English, French, Portuguese, Aboriginal",Universal Pictures
Major Dundee (re-release),21601,62,6.1,123.0,65.6086309523809524,64.0924272486772487,65.1740740740740741,66.5000000000000000,77.7000000000000000,58.0000000000000000,7.202056277056277,7.986111111111111,7.625,7.5693672993673,7.383333333333333,5.4,Spring,Beginning,PG13,"Adventure,                                          War,                                          Western","English, French, Spanish",Columbia Pictures Corporation
